Canonical broad categories: 22
Canonical heme subs: 8
Processing 670 docs (sample=False, force=False, workers=12)
[1/670] Neumega                  (2006) Other/Unmapped       -> Other                               | heme=- (high)
[584/670] AUGTYRO                  (2024) Other/Unmapped       -> Other                               | heme=- (high)
[585/670] Breyanzi                 (2024) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[586/670] Lutathera                (2024) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[587/670] Ojemda                   (2024) CNS/Brain            -> Pediatric Cancers                   | heme=- (high)
[588/670] Imdelltra                (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[589/670] Alecensa                 (2024) Lymphoma             -> Lung Cancers                        | heme=- (high)
[590/670] Anktiva                  (2024) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[591/670] Tivdak                   (2024) Cervical             -> Gynecological Cancers               | heme=- (high)
[592/670] Enhertu                  (2024) Other/Unmapped       -> Other                               | heme=- (high)
[593/670]                          (2024) Other/Unmapped       -> Other                               | heme=- (high)
[594/670] Elahere                  (2024) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[595/670] Iclusig                  (2024) Leukemia             -> Hematological Malignancies          | heme=- (high)
[596/670] Opdivo                   (2024) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[597/670] Tagrisso                 (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[598/670] Brukinsa                 (2024) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[599/670] Besponsa                 (2024) Leukemia             -> Pediatric Cancers                   | heme=- (high)
[600/670] Tepmetko                 (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[601/670] Rybrevant                (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[602/670] Onivyde                  (2024) Other/Unmapped       -> Other                               | heme=- (high)
[603/670] Opdivo                   (2021) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[604/670] Amtagvi                  (2024) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[605/670] Rybrevant Faspro         (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[606/670] Balversa                 (2024) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[607/670] Enhertu                  (2025) Breast               -> Breast Cancer                       | heme=- (high)
[608/670] Akeega                   (2025) Prostate             -> Prostate Cancer                     | heme=- (high)
[609/670] Keytruda                 (2024) Cervical             -> Gynecological Cancers               | heme=- (high)
[610/670] Rubraca                  (2025) Prostate             -> Prostate Cancer                     | heme=- (high)
[611/670] Breyanzi                 (2025) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[612/670] KOSELUGO                 (2025) Other/Unmapped       -> Specific Syndromes                  | heme=- (high)
[613/670] Poherdy                  (2025) Breast               -> Breast Cancer                       | heme=- (high)
[614/670] Darzalex Faspro          (2025) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[615/670] Hyrnuo                   (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[616/670] Imfinzi                  (2025) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[617/670] Jaypirca                 (2025) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[618/670] Komzifti                 (2025) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[619/670] Imdelltra                (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[620/670] Keytruda, Keytruda Qlex, (2025) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[621/670] Darzalex Faspro          (2025) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[622/670] Epkinly                  (2025) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[623/670] Libtayo                  (2025) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[624/670] Blenrep                  (2025) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[625/670] Revuforj                 (2025) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[626/670] Keytruda Qlex            (2025) Other/Unmapped       -> Lung Cancers                        | heme=- (high)
[627/670] Inlexzo                  (2025) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[628/670] KOSELUGO                 (2025) Other/Unmapped       -> Specific Syndromes                  | heme=- (high)
[629/670] Inluriyo                 (2025) Breast               -> Breast Cancer                       | heme=- (high)
[630/670] Hernexeos                (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[631/670] Modeyso                  (2025) CNS/Brain            -> Brain and Other Nervous System      | heme=- (high)
[632/670] Monjuvi                  (2025) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[633/670] Nubeqa                   (2025) Prostate             -> Prostate Cancer                     | heme=- (high)
[634/670] Zusduri                  (2025) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[635/670] Keytruda                 (2025) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[636/670] Zegfrovy                 (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[637/670] Lynozyfic                (2025) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[638/670] Ibtrozi                  (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[639/670] Emrelis                  (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[640/670] Zepzelca                 (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[641/670] Zynyz                    (2025) Other/Unmapped       -> Colorectal Cancer                   | heme=- (high)
[642/670] Opdivo, Yervoy           (2025) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[643/670] Avmapki Fakzynja Co-pack (2025) Ovarian              -> Gynecological Cancers               | heme=- (high)
[644/670] Welireg                  (2025) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[645/670] Pluvicto                 (2025) Prostate             -> Prostate Cancer                     | heme=- (high)
[646/670] Datroway                 (2025) Lung                 -> Lung Cancers                        | heme=- (high)
[647/670] Opdivo and Yervoy        (2025) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[648/670] Imfinzi                  (2025) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[649/670] Gomekli                  (2025) Other/Unmapped       -> Specific Syndromes                  | heme=- (high)
[650/670]                          (2025) Other/Unmapped       -> Head and Neck Cancers               | heme=- (high)
[651/670] Keytruda                 (2025) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[652/670] Cabometyx                (2025) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[653/670] Calquence                (2025) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[654/670] Lumakras and Vectibix    (2025) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[655/670] Adcetris                 (2025) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[656/670] Grafapex                 (2025) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[657/670] Datroway                 (2025) Breast               -> Breast Cancer                       | heme=- (high)
[658/670] Opdivo                   (2026) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[659/670] Xeloda                   (2025) Leukemia             -> Other                               | heme=- (high)
[660/670] Enhertu                  (2025) Breast               -> Breast Cancer                       | heme=- (high)
[661/670] Hernexeos                (2026) Lung                 -> Lung Cancers                        | heme=- (high)
[662/670] Lifyorli                 (2026) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[663/670] Romvimza                 (2025) Other/Unmapped       -> Soft Tissue Cancers (including Heart) | heme=- (high)
[664/670] Tecvayli                 (2026) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[665/670] Braftovi                 (2026) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[666/670] Xeloda and 5-FU          (2026) Leukemia             -> Other                               | heme=- (high)
[667/670] Keytruda and Keytruda Ql (2026) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[668/670] Calquence, Venclexta     (2026) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[669/670] Darzalex Faspro          (2026) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[670/670] Polivy                   (2023) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)

Done. ok=670 err=0 elapsed=95.7s
