Trial (NCT),Condition,Arm,Interventions,OS median,OS 95% CI low,OS 95% CI high,OS N,PFS median,PFS 95% CI low,PFS 95% CI high,PFS N,ORR %,CT.gov last updated
NCT01356628,Advanced Hepatocellular Carcinoma; HCC; Liver Cancer; Liver Neoplasms,PD-0332991,PD-0332991,40.0,24.0,96.0,23.0,,,,,,2025-07-28
NCT02973516,"Chronic Liver Disease; HepatoCellular Carcinoma; Carcinoma, Hepatocellular",Cohort 1,"P03277 at 0.1 mmol/kg, P03277 at 0.05 mmol/kg",,,,,,,,,,2021-10-26
NCT02973516,"Chronic Liver Disease; HepatoCellular Carcinoma; Carcinoma, Hepatocellular",Cohort 2,"P03277 at 0.1 mmol/kg, P03277 at 0.05 mmol/kg",,,,,,,,,,2021-10-26
NCT00906373,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Liver Neoplasms",Cohort 1 - 10 mg/kg Cixutumumab,"IMC-A12 (cixutumumab) - 10 milligrams/kilogram (mg/kg), IMC-A12 (cixutumumab) - 20 mg/kg, Sorafenib",,,,,,,,,,2018-06-04
NCT00906373,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Liver Neoplasms",Cohort 2 - 20 mg/kg Cixutumumab,"IMC-A12 (cixutumumab) - 10 milligrams/kilogram (mg/kg), IMC-A12 (cixutumumab) - 20 mg/kg, Sorafenib",11.6,8.0,15.1,41.0,,,,,12.2,2018-06-04
NCT02115373,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Phase 1b: Tepotinib 300 mg,"Tepotinib, Tepotinib",3.0,,,4.0,4.0,,,4.0,,2022-08-24
NCT02115373,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Phase 1b: Tepotinib 500 mg,"Tepotinib, Tepotinib",11.0,,,13.0,12.0,,,13.0,,2022-08-24
NCT02115373,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Phase 2: Tepotinib 500 mg,"Tepotinib, Tepotinib",40.0,,,49.0,38.0,,,49.0,,2022-08-24
NCT02736227,Liver Transplantation,Graft Rejection After Tacrolimus Was Discontinued (REJ),Tacrolimus Withdrawal and Everolimus Monotherapy,,,,,,,,,,2022-10-07
NCT02736227,Liver Transplantation,No Graft Rejection After Tacrolimus Weaning (Non REJ),Tacrolimus Withdrawal and Everolimus Monotherapy,,,,,,,,,,2022-10-07
NCT02736227,Liver Transplantation,Withdrew From Study Before Tacrolimus Weaning,Tacrolimus Withdrawal and Everolimus Monotherapy,,,,,,,,,,2022-10-07
NCT00538850,"Cancer; Neoplasms; Pain; Congenital Abnormalities; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Accelerated Phase; Blast Crisis; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Chronic-Phase; Burkitt Lymphoma; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Lymphoma, Large-Cell, Immunoblastic; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Lymphoma, B-Cell, Marginal Zone; Lymphoma, Follicular; Lymphoma, Mantle-Cell; Hodgkin Disease; Lymphoma, T-Cell, Cutaneous; Mycosis Fungoides; Sezary Syndrome; Multiple Myeloma; Myeloproliferative Disorders; Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative; Lymphoma, Large-Cell, Anaplastic; Immunoblastic Lymphadenopathy; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Pdgfra-Associated Chronic Eosinophilic Leukemia; Primary Myelofibrosis; Leukemia, Neutrophilic, Chronic; Thrombocythemia, Essential; Polycythemia Vera; Leukemia, Large Granular Lymphocytic; Leukemia, Myeloid, Acute; Leukemia, Biphenotypic, Acute; Leukemia, Hairy Cell; Leukemia, Prolymphocytic; Waldenstrom Macroglobulinemia; Monoclonal Gammopathy of Undetermined Significance; Immunoglobulin Light-chain Amyloidosis; Intraocular Lymphoma; Squamous Cell Carcinoma of Head and Neck; Esthesioneuroblastoma, Olfactory; Salivary Gland Neoplasms; Choroid Plexus Neoplasms; Craniopharyngioma; Ependymoma; Astrocytoma; Pinealoma; Glioma, Subependymal; Oligodendroglioma; Medulloblastoma; Neuroectodermal Tumors, Primitive; Glioblastoma; Gliosarcoma; Meningioma; Glioma; Brain Neoplasms; Uterine Cervical Neoplasms; Endometrial Neoplasms; Fallopian Tube Neoplasms; Carcinoma, Ovarian Epithelial; Colonic Neoplasms; Urinary Bladder Neoplasms; Gallbladder Neoplasms; Stomach Neoplasms; Carcinoma, Renal Cell; Urethral Neoplasms; Adrenocortical Carcinoma; Gastrinoma; Insulinoma; Vipoma; Glucagonoma; Somatostatinoma; Carcinoma, Islet Cell; Appendiceal Neoplasms; Bile Duct Neoplasms; Gastrointestinal Stromal Tumors; Carcinoma, Hepatocellular; Pancreatic Neoplasms; Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Nephroma, Mesoblastic; Breast Neoplasms; Breast Neoplasms, Male; Breast Carcinoma In Situ; Osteosarcoma; Neuroectodermal Tumors, Primitive, Peripheral; Chondrosarcoma; Desmoid Tumors; Sarcoma; Thymoma; Mesothelioma, Malignant; Testicular Neoplasms; Penile Neoplasms; Prostatic Neoplasms; Vaginal Neoplasms; Vulvar Neoplasms; Anus Neoplasms; Rectal Neoplasms; Esophageal Neoplasms; Melanoma",Fentanyl Sublingual Spray - Double-blind,"Fentanyl sublingual spray, Placebo",,,,,,,,,,2014-03-05
NCT00538850,"Cancer; Neoplasms; Pain; Congenital Abnormalities; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Accelerated Phase; Blast Crisis; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Chronic-Phase; Burkitt Lymphoma; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Lymphoma, Large-Cell, Immunoblastic; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Lymphoma, B-Cell, Marginal Zone; Lymphoma, Follicular; Lymphoma, Mantle-Cell; Hodgkin Disease; Lymphoma, T-Cell, Cutaneous; Mycosis Fungoides; Sezary Syndrome; Multiple Myeloma; Myeloproliferative Disorders; Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative; Lymphoma, Large-Cell, Anaplastic; Immunoblastic Lymphadenopathy; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Pdgfra-Associated Chronic Eosinophilic Leukemia; Primary Myelofibrosis; Leukemia, Neutrophilic, Chronic; Thrombocythemia, Essential; Polycythemia Vera; Leukemia, Large Granular Lymphocytic; Leukemia, Myeloid, Acute; Leukemia, Biphenotypic, Acute; Leukemia, Hairy Cell; Leukemia, Prolymphocytic; Waldenstrom Macroglobulinemia; Monoclonal Gammopathy of Undetermined Significance; Immunoglobulin Light-chain Amyloidosis; Intraocular Lymphoma; Squamous Cell Carcinoma of Head and Neck; Esthesioneuroblastoma, Olfactory; Salivary Gland Neoplasms; Choroid Plexus Neoplasms; Craniopharyngioma; Ependymoma; Astrocytoma; Pinealoma; Glioma, Subependymal; Oligodendroglioma; Medulloblastoma; Neuroectodermal Tumors, Primitive; Glioblastoma; Gliosarcoma; Meningioma; Glioma; Brain Neoplasms; Uterine Cervical Neoplasms; Endometrial Neoplasms; Fallopian Tube Neoplasms; Carcinoma, Ovarian Epithelial; Colonic Neoplasms; Urinary Bladder Neoplasms; Gallbladder Neoplasms; Stomach Neoplasms; Carcinoma, Renal Cell; Urethral Neoplasms; Adrenocortical Carcinoma; Gastrinoma; Insulinoma; Vipoma; Glucagonoma; Somatostatinoma; Carcinoma, Islet Cell; Appendiceal Neoplasms; Bile Duct Neoplasms; Gastrointestinal Stromal Tumors; Carcinoma, Hepatocellular; Pancreatic Neoplasms; Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Nephroma, Mesoblastic; Breast Neoplasms; Breast Neoplasms, Male; Breast Carcinoma In Situ; Osteosarcoma; Neuroectodermal Tumors, Primitive, Peripheral; Chondrosarcoma; Desmoid Tumors; Sarcoma; Thymoma; Mesothelioma, Malignant; Testicular Neoplasms; Penile Neoplasms; Prostatic Neoplasms; Vaginal Neoplasms; Vulvar Neoplasms; Anus Neoplasms; Rectal Neoplasms; Esophageal Neoplasms; Melanoma",Fentanyl Sublingual Spray - Titration,"Fentanyl sublingual spray, Placebo",,,,,,,,,,2014-03-05
NCT01849588,Hepatocellular Cancer; Liver Neoplasms,Sorafenib,Sorafenib,,,,,,,,,,2017-04-19
NCT01849588,Hepatocellular Cancer; Liver Neoplasms,Treatment Arm,Sorafenib,8.36,2.76,13.65,3.0,,,,,,2017-04-19
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 200 mg + Ipilimumab 1 mg/kg","INCAGN01949, Nivolumab, Ipilimumab",,,,,1.6,1.2,1.8,5.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 200 mg + Nivolumab 240 mg","INCAGN01949, Nivolumab, Ipilimumab",,,,,1.8,1.4,,3.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 350 mg + Ipilimumab 1 mg/kg","INCAGN01949, Nivolumab, Ipilimumab",,,,,4.6,1.2,15.7,4.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 350 mg + Nivolumab 240 mg","INCAGN01949, Nivolumab, Ipilimumab",,,,,2.7,1.4,7.5,4.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 70 mg + Ipilimumab 1 mg/kg","INCAGN01949, Nivolumab, Ipilimumab",,,,,3.5,0.7,5.4,4.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 70 mg + Nivolumab 240 mg","INCAGN01949, Nivolumab, Ipilimumab",,,,,1.8,1.0,4.9,4.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 700 mg + Ipilimumab 1 mg/kg","INCAGN01949, Nivolumab, Ipilimumab",,,,,1.8,1.7,5.1,3.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Dose Escalation: INCAGN01949 700 mg + Nivolumab 240 mg","INCAGN01949, Nivolumab, Ipilimumab",,,,,1.8,0.8,2.1,4.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Safety Expansion: INCAGN01949 200 mg + Nivolumab 240 mg","INCAGN01949, Nivolumab, Ipilimumab",,,,,2.2,1.8,6.7,6.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Safety Expansion: INCAGN01949 350 mg + Nivolumab 240 mg","INCAGN01949, Nivolumab, Ipilimumab",,,,,4.6,1.8,15.5,6.0,,2022-09-27
NCT03241173,"Advanced Malignancies; Uterine Cervical Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell; Stomach Neoplasms","Phase 1, Safety Expansion: INCAGN01949 70 mg + Nivolumab 240 mg","INCAGN01949, Nivolumab, Ipilimumab",,,,,1.6,0.1,9.9,4.0,,2022-09-27
NCT01911273,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",BSC Alone,"PF-03446962, Best Supportive Care, Placebo, Best Supportive Care",,,,2.0,,,,2.0,,2015-10-28
NCT01911273,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",PF-03446962 Plus BSC,"PF-03446962, Best Supportive Care, Placebo, Best Supportive Care",,,,1.0,,,,1.0,,2015-10-28
NCT00645710,Liver Metastases; Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer; Colonic Neoplasms; Rectal Neoplasms,Dose Level 1- FUdR 0.10 mg/kg/Day,"gemcitabine hydrochloride, floxuridine, proteomic profiling, matrix-assisted laser desorption/ionization time of flight mass spectrometry, liquid chromatography, yttrium Y 90 anti-CEA monoclonal antibody cT84.66, laboratory biomarker analysis, mass spectrometry, pharmacological study",23.2,18.9,,3.0,8.3,5.0,,3.0,,2019-03-28
NCT00645710,Liver Metastases; Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer; Colonic Neoplasms; Rectal Neoplasms,Dose Level 2 - FUdR 0.15 mg/kg/Day,"gemcitabine hydrochloride, floxuridine, proteomic profiling, matrix-assisted laser desorption/ionization time of flight mass spectrometry, liquid chromatography, yttrium Y 90 anti-CEA monoclonal antibody cT84.66, laboratory biomarker analysis, mass spectrometry, pharmacological study",73.2,27.4,132.9,3.0,11.5,6.6,12.9,3.0,,2019-03-28
NCT00645710,Liver Metastases; Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer; Colonic Neoplasms; Rectal Neoplasms,Dose Level 2- FUdR 0.15 mg/kg/Day,"gemcitabine hydrochloride, floxuridine, proteomic profiling, matrix-assisted laser desorption/ionization time of flight mass spectrometry, liquid chromatography, yttrium Y 90 anti-CEA monoclonal antibody cT84.66, laboratory biomarker analysis, mass spectrometry, pharmacological study",,,,,,,,,,2019-03-28
NCT00645710,Liver Metastases; Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer; Colonic Neoplasms; Rectal Neoplasms,Dose Level 3 - FUdR 0.20 mg/kg/Day,"gemcitabine hydrochloride, floxuridine, proteomic profiling, matrix-assisted laser desorption/ionization time of flight mass spectrometry, liquid chromatography, yttrium Y 90 anti-CEA monoclonal antibody cT84.66, laboratory biomarker analysis, mass spectrometry, pharmacological study",41.2,18.4,65.5,10.0,9.6,1.0,19.0,10.0,,2019-03-28
NCT00645710,Liver Metastases; Recurrent Colon Cancer; Recurrent Rectal Cancer; Stage IV Colon Cancer; Stage IV Rectal Cancer; Colonic Neoplasms; Rectal Neoplasms,Dose Level 3- FUdR 0.20 mg/kg/Day,"gemcitabine hydrochloride, floxuridine, proteomic profiling, matrix-assisted laser desorption/ionization time of flight mass spectrometry, liquid chromatography, yttrium Y 90 anti-CEA monoclonal antibody cT84.66, laboratory biomarker analysis, mass spectrometry, pharmacological study",,,,,,,,,,2019-03-28
NCT03007225,"HepatoCellular Carcinoma; Carcinoma, Hepatocellular",Group 1,"Trans-arterial chemoembolization (TACE), TACE with Drug Eluting Beads procedure",,,,,,,,,,2020-10-22
NCT03007225,"HepatoCellular Carcinoma; Carcinoma, Hepatocellular",Group 2,"Trans-arterial chemoembolization (TACE), TACE with Drug Eluting Beads procedure",,,,,,,,,,2020-10-22
NCT00149396,"Colorectal Cancer; Liver Neoplasms; Colorectal Neoplasms; Liver Neoplasms; Rectal Neoplasms; Colonic Neoplasms; Carcinoma, Hepatocellular",All Patients,NV1020,,,,,,,,,,2018-04-24
NCT03109262,"Primary Malignant Liver Neoplasm; Carcinoma, Hepatocellular",Yttrium Y-90 PET/CT vs 99mTc-MAA SPECT/CT Scans,"Computed Tomography (CT), Positron Emission Tomography (PET), 90-Yttrium (Y-90) Glass Microspheres, Technetium 99mTc albumin aggregated (99mTc-MAA), Single-photon emission computerized tomography (SPECT) scan",,,,,,,,,,2022-01-10
NCT00957424,"Bladder Cancer; Cervical Cancer; Esophageal Cancer; Gastric Cancer; Head and Neck Cancer; Kidney Cancer; Leukemia; Liver Cancer; Lung Cancer; Pancreatic Cancer; Tobacco Use Disorder; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Esophageal Neoplasms; Stomach Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Leukemia; Liver Neoplasms; Lung Neoplasms; Pancreatic Neoplasms; Tobacco Use Disorder; Carcinoma, Renal Cell; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Hypopharyngeal Neoplasms; Laryngeal Neoplasms; Mouth Neoplasms; Nasopharyngeal Neoplasms; Oropharyngeal Neoplasms; Leukemia, Myeloid, Acute",Overall,"telephone-based intervention, nicotine replacement therapy, informational intervention, internet-based intervention, questionnaire administration",,,,,,,,,,2017-02-07
NCT01887717,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Sorafenib,"TheraSphere®, Sorafenib",18.2,2.9,18.2,16.0,,,,,,2021-04-21
NCT01887717,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",TheraSphere,"TheraSphere®, Sorafenib",14.5,2.3,22.0,15.0,,,,,,2021-04-21
NCT05385952,"Intraoperative Bleeding; Hemorrhage, Surgical; Liver Diseases; Blood Loss, Surgical; Liver Diseases",GATT-Patch (Currently Named ETHIZIA),"GATT-Patch (currently named ETHIZIA), TachoSil",,,,,,,,,,2026-03-04
NCT05385952,"Intraoperative Bleeding; Hemorrhage, Surgical; Liver Diseases; Blood Loss, Surgical; Liver Diseases",TachoSil,"GATT-Patch (currently named ETHIZIA), TachoSil",,,,,,,,,,2026-03-04
NCT00867321,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",All Patients,"bevacizumab, sorafenib tosylate",13.3,4.4,,6.0,,,,,,2022-04-19
NCT00867321,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Arm I (Phase II),"bevacizumab, sorafenib tosylate",,,,,,,,,,2022-04-19
NCT00867321,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Arm II (Phase II),"bevacizumab, sorafenib tosylate",,,,,,,,,,2022-04-19
NCT00867321,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Phase I: Dose Level -1,"bevacizumab, sorafenib tosylate",,,,,,,,,,2022-04-19
NCT00867321,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Phase I: Dose Level -2,"bevacizumab, sorafenib tosylate",,,,,,,,,,2022-04-19
NCT00867321,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Phase I: Dose Level -2a,"bevacizumab, sorafenib tosylate",,,,,,,,,,2022-04-19
NCT00867321,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Phase I: Dose Level 0,"bevacizumab, sorafenib tosylate",,,,,,,,,,2022-04-19
NCT03268499,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Emulsion Group,Lipiodol-based transarterial chemoembolization,36.0,25.7,46.6,36.0,,,,,,2024-11-15
NCT03268499,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Suspension Group,Lipiodol-based transarterial chemoembolization,53.3,40.5,80.0,37.0,,,,,,2024-11-15
NCT00639509,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Localized Unresectable Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",Treatment (Monoclonal Antibody Therapy),"cixutumumab, computed tomography, contrast-enhanced magnetic resonance imaging",8.0,5.8,14.0,23.0,,,,,0.0,2014-05-23
NCT03575806,"Hepatocellular Carcinoma; Malignant Neoplasm; Carcinoma, Hepatocellular; Neoplasms",TACE Group,"TACE plus autologous Tcm immunotherapy, TACE",25.0,,,25.0,,,,,,2020-06-11
NCT03575806,"Hepatocellular Carcinoma; Malignant Neoplasm; Carcinoma, Hepatocellular; Neoplasms",TACE+Tcm Group,"TACE plus autologous Tcm immunotherapy, TACE",23.0,,,23.0,,,,,,2020-06-11
NCT03277352,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Esophageal Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",INCAGN01876 + Pembrolizumab + Epacadostat,"INCAGN01876, Epacadostat, Pembrolizumab",25.59,16.76,,10.0,17.36,2.05,,10.0,,2021-07-22
NCT01141478,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Proton Beam Radiotherapy Plus Sorafenib,"Proton Beam Radiotherapy, Sorafenib",1.6,0.1,3.7,3.0,,,,,,2021-10-15
NCT01141478,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Sorafenib,"Proton Beam Radiotherapy, Sorafenib",0.36,0.3,0.4,3.0,,,,,,2021-10-15
NCT01030757,Liver Cancer; Liver Neoplasms,Tomotherapy,Tomotherapy treatment,,,,,,,,,,2015-07-07
NCT02513199,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",TACE/SBRT Combination,"SBRT, TACE",20.0,,,32.0,,,,,20.0,2023-06-18
NCT04327700,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Regorafenib and TheraBionic,"TheraBionic, Regorafenib",2.0,,,2.0,2.0,,,2.0,,2026-03-05
NCT02576509,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Nivolumab 240 mg,"Nivolumab, Sorafenib",16.39,13.93,18.37,371.0,3.68,3.06,3.88,371.0,15.4,2025-02-17
NCT02576509,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Sorafenib 400 mg,"Nivolumab, Sorafenib",14.69,11.89,17.22,372.0,3.75,3.71,4.47,372.0,7.0,2025-02-17
NCT02181075,"Liver Tumour; Carcinoma, Hepatocellular",Part I (Patients Enrolled Between March 2015-April 2017),"ThermoDox® (LTLD), Focused Ultrasound of Target Liver Tumour, Pre-LTLD Biopsy of Target Liver Tumour, Post-LTLD Biopsy of Target Liver Tumour, Post-LTLD+FUS (Post-FUS) Biopsy of Target Liver Tumour, Thermometry of Target Tumour",,,,,,,,,,2019-07-22
NCT02181075,"Liver Tumour; Carcinoma, Hepatocellular",Part II (Patients Enrolled Between June 2016-Feb 2017),"ThermoDox® (LTLD), Focused Ultrasound of Target Liver Tumour, Pre-LTLD Biopsy of Target Liver Tumour, Post-LTLD Biopsy of Target Liver Tumour, Post-LTLD+FUS (Post-FUS) Biopsy of Target Liver Tumour, Thermometry of Target Tumour",,,,,,,,,,2019-07-22
NCT04487067,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Atezolizumab + Bevacizumab,"Atezolizumab, Bevacizumab",20.76,16.85,26.35,149.0,8.8,7.89,11.24,149.0,28.29,2025-09-22
NCT02062944,Acute Rejection of Liver Transplant; Effects of Immunosuppressant Therapy,Single-arm Study Sirolimus Withdrawal,Sirolimus,,,,,,,,,,2022-07-14
NCT02188719,Liver Transplantation,Cohort 1,"Anti-Thymocyte Globulin - Rabbit, darTreg Infusion, Everolimus, Tacrolimus, Mycophenolate mofetil, Prednisone, Acetaminophen, Diphenhydramine, Anti-Infective Prophylaxis, Leukapheresis, Blood draws, Liver biopsies, Liver transplantation",,,,,,,,,,2020-09-22
NCT02188719,Liver Transplantation,Cohort 2,"Anti-Thymocyte Globulin - Rabbit, darTreg Infusion, Everolimus, Tacrolimus, Mycophenolate mofetil, Prednisone, Acetaminophen, Diphenhydramine, Anti-Infective Prophylaxis, Leukapheresis, Blood draws, Liver biopsies, Liver transplantation",,,,,,,,,,2020-09-22
NCT02188719,Liver Transplantation,Cohort 3,"Anti-Thymocyte Globulin - Rabbit, darTreg Infusion, Everolimus, Tacrolimus, Mycophenolate mofetil, Prednisone, Acetaminophen, Diphenhydramine, Anti-Infective Prophylaxis, Leukapheresis, Blood draws, Liver biopsies, Liver transplantation",,,,,,,,,,2020-09-22
